Sample,Trigger,burst/period_cnt,burst/FIBER_AOM_TTL_tem,burst/TTL_tem,core/lock,burst/state,burst/bst_cnt,core/BST_NUM,burst/BST_NUM_reg,core/BST_PERIOD,burst/BST_PERIOD_reg
5313,0,0000000001111101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5314,0,0000000001111101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5315,0,0000000001111101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5316,0,0000000001111110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5317,0,0000000001111110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5318,0,0000000001111111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5319,0,0000000001111111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5320,0,0000000001111111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5321,0,0000000010000000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5322,0,0000000010000000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5323,0,0000000010000000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5324,0,0000000010000001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5325,0,0000000010000001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5326,0,0000000010000001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5327,0,0000000010000010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5328,0,0000000010000010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5329,0,0000000010000011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5330,0,0000000010000011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5331,0,0000000010000011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5332,0,0000000010000100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5333,0,0000000010000100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5334,0,0000000010000100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5335,0,0000000010000101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5336,0,0000000010000101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5337,0,0000000010000101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5338,0,0000000010000110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5339,0,0000000010000110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5340,0,0000000010000111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5341,0,0000000010000111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5342,0,0000000010000111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5343,0,0000000010001000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5344,0,0000000010001000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5345,0,0000000010001000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5346,0,0000000010001001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5347,0,0000000010001001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5348,0,0000000010001001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5349,0,0000000010001010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5350,0,0000000010001010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5351,0,0000000010001010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5352,0,0000000010001011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5353,0,0000000010001011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5354,0,0000000010001100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5355,0,0000000010001100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5356,0,0000000010001100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5357,0,0000000010001101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5358,0,0000000010001101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5359,0,0000000010001101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5360,0,0000000010001110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5361,0,0000000010001110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5362,0,0000000010001110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5363,0,0000000010001111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5364,0,0000000010001111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5365,0,0000000010010000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5366,0,0000000010010000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5367,0,0000000010010000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5368,0,0000000010010001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5369,0,0000000010010001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5370,0,0000000010010001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5371,0,0000000010010010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5372,0,0000000010010010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5373,0,0000000010010010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5374,0,0000000010010011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5375,0,0000000010010011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
